definition2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
baa baa,0.47,0.57,0.61,0.69,0.7,0.63,0.78,0.77,0.79,0.81,0.83,0.82,0.9,0.86,0.92
choo choo,0.28,0.33,0.51,0.59,0.61,0.59,0.74,0.78,0.8,0.84,0.86,0.85,0.95,0.87,0.93
cockadoodledoo,0.13,0.11,0.19,0.25,0.27,0.34,0.39,0.39,0.51,0.53,0.55,0.53,0.75,0.57,0.73
grrr,0.54,0.57,0.63,0.66,0.66,0.64,0.75,0.8,0.83,0.8,0.86,0.81,0.94,0.83,0.89
meow,0.5,0.49,0.68,0.72,0.73,0.79,0.82,0.87,0.9,0.9,0.94,0.91,0.97,0.93,0.97
moo,0.55,0.61,0.71,0.76,0.78,0.76,0.85,0.91,0.9,0.9,0.92,0.9,0.97,0.93,0.97
ouch,0.43,0.45,0.6,0.65,0.73,0.75,0.75,0.87,0.84,0.87,0.9,0.9,0.95,0.89,0.94
quack quack,0.46,0.46,0.58,0.62,0.68,0.62,0.76,0.82,0.83,0.85,0.9,0.83,0.95,0.86,0.96
uh oh,0.76,0.78,0.87,0.9,0.89,0.89,0.9,0.93,0.94,0.94,0.94,0.93,0.98,0.94,0.96
vroom,0.49,0.46,0.6,0.62,0.57,0.67,0.69,0.73,0.75,0.74,0.73,0.71,0.87,0.73,0.81
woof woof,0.6,0.63,0.72,0.75,0.74,0.75,0.82,0.85,0.88,0.88,0.91,0.88,0.96,0.91,0.94
yum yum,0.56,0.53,0.61,0.63,0.64,0.59,0.67,0.73,0.72,0.78,0.81,0.67,0.89,0.77,0.85
alligator,0.03,0.05,0.1,0.13,0.18,0.21,0.28,0.38,0.46,0.5,0.6,0.58,0.8,0.72,0.79
animal,0.05,0.07,0.14,0.22,0.26,0.31,0.44,0.49,0.56,0.55,0.66,0.7,0.81,0.73,0.83
ant,0.05,0.07,0.16,0.2,0.26,0.25,0.34,0.44,0.5,0.55,0.64,0.66,0.78,0.7,0.84
bear,0.34,0.34,0.5,0.56,0.6,0.62,0.68,0.77,0.79,0.81,0.87,0.86,0.95,0.88,0.95
bee,0.18,0.25,0.36,0.49,0.5,0.48,0.6,0.72,0.72,0.73,0.79,0.81,0.92,0.84,0.93
bird,0.48,0.47,0.63,0.66,0.76,0.7,0.8,0.83,0.88,0.92,0.96,0.94,0.97,0.93,0.97
bug,0.14,0.18,0.35,0.41,0.45,0.5,0.59,0.69,0.73,0.74,0.83,0.79,0.92,0.83,0.92
bunny,0.22,0.22,0.43,0.47,0.57,0.55,0.65,0.71,0.75,0.79,0.81,0.82,0.93,0.85,0.92
butterfly,0.08,0.1,0.21,0.28,0.31,0.38,0.46,0.54,0.64,0.69,0.71,0.75,0.89,0.81,0.92
